UID,Modified,Date,Annotator,Person norm.,Start Norm.,End Norm.,Duration Norm.,comment (if any)
Minori_115,,2001_11_22_19_00_1.webm,Minori,Koizumi,0:00:00,0:00:23,0:00:23,picture
Yuji_126,,2001_11_22_19_00_1.webm,Yuji,Koizumi,0:00:00,0:00:23,0:00:23,pictureonly
Minori_117,,2001_11_22_19_00_1.webm,Minori,Koizumi,0:01:52,0:02:07,0:00:15,
Yuji_128,,2001_11_22_19_00_1.webm,Yuji,Koizumi,0:01:52,0:02:08,0:00:16,
Minori_118,,2001_11_22_19_00_1.webm,Minori,Kanzaki,0:02:31,0:02:36,0:00:05,
Yuji_129,,2001_11_22_19_00_1.webm,Yuji,Kanzaki,0:02:32,0:02:36,0:00:04,
Yuji_134,,2001_11_22_19_00_1.webm,Yuji,Fukuda,0:02:46,0:02:48,0:00:02,
Minori_120,,2001_11_22_19_00_1.webm,Minori,Kanzaki,0:02:46,0:02:49,0:00:03,
Minori_119,,2001_11_22_19_00_1.webm,Minori,Koizumi,0:02:46,0:03:06,0:00:20,
Minori_121,,2001_11_22_19_00_1.webm,Minori,Fukuda,0:02:47,0:02:48,0:00:01,
Yuji_131,,2001_11_22_19_00_1.webm,Yuji,Kanzaki,0:02:47,0:02:49,0:00:02,
Yuji_130,,2001_11_22_19_00_1.webm,Yuji,Koizumi,0:02:47,0:03:06,0:00:19,
Yuji_132,1,2001_11_22_19_00_1.webm,Yuji,Koizumi,0:02:53,0:03:05,0:00:09,
Minori_122,,2001_11_22_19_00_1.webm,Minori,Fukuda,0:02:54,0:02:57,0:00:03,
Yuji_135,,2001_11_22_19_00_1.webm,Yuji,Fukuda,0:02:54,0:02:57,0:00:03,
Minori_123,1,2001_11_22_19_00_1.webm,Minori,Kanzaki,0:02:54,0:03:00,0:00:06,
Minori_124,1,2001_11_22_19_00_1.webm,Minori,Kanzaki,0:03:05,0:03:08,0:00:03,
Yuji_133,-1,2001_11_22_19_00_1.webm,Yuji,Koizumi,0:03:06,0:03:08,0:00:02,
Minori_125,,2001_11_22_19_00_1.webm,Minori,Fukuda,0:03:10,0:03:11,0:00:01,
Yuji_136,,2001_11_22_19_00_1.webm,Yuji,Fukuda,0:03:10,0:03:11,0:00:01,
,,2001_12_28_19_00_1.webm,_title_,,-1.00,,,
Yuji_150,1,2001_12_28_19_00_1.webm,Yuji,Koizumi,0:02:42,0:02:43,0:00:01,pictureonly
Minori_138,-1,2001_12_28_19_00_1.webm,Minori,nothing,,,0:00:00,nothing
,,2002_01_08_19_00_3.webm,_title_,,-1.00,,,
Yuji_161,1,2002_01_08_19_00_3.webm,Yuji,Koizumi,0:00:00,0:00:09,0:00:09,
Minori_149,-1,2002_01_08_19_00_3.webm,Minori,Koizumi,0:00:00,0:00:16,0:00:16,
Yuji_162,1,2002_01_08_19_00_3.webm,Yuji,Koizumi,0:00:10,0:00:14,0:00:04,
,,2002_01_13_19_00_1.webm,_title_,,-1.00,,,
Minori_153,,2002_01_13_19_00_1.webm,Minori,Koizumi,0:00:01,0:00:14,0:00:13,picture
Yuji_166,,2002_01_13_19_00_1.webm,Yuji,Koizumi,0:00:01,0:00:15,0:00:14,pictureonly
Minori_154,,2002_01_13_19_00_1.webm,Minori,Koizumi,0:00:26,0:00:33,0:00:07,
Yuji_167,,2002_01_13_19_00_1.webm,Yuji,Koizumi,0:00:26,0:00:34,0:00:08,
Minori_155,1,2002_01_13_19_00_1.webm,Minori,Koizumi,0:00:38,0:00:52,0:00:14,
Yuji_168,-1,2002_01_13_19_00_1.webm,Yuji,Koizumi,0:00:42,0:00:52,0:00:10,
Yuji_169,1,2002_01_13_19_00_1.webm,Yuji,Abe,0:00:49,0:00:52,0:00:03,
Minori_156,,2002_01_13_19_00_1.webm,Minori,Koizumi,0:00:59,0:01:04,0:00:05,
Yuji_170,,2002_01_13_19_00_1.webm,Yuji,Koizumi,0:00:59,0:01:04,0:00:05,
Yuji_171,,2002_01_13_19_00_1.webm,Yuji,Koizumi,0:01:06,0:01:20,0:00:14,
Minori_157,,2002_01_13_19_00_1.webm,Minori,Koizumi,0:01:07,0:01:21,0:00:14,
,,2002_01_14_19_00_2.webm,_title_,,-1.00,,,
Yuji_173,-1,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:00:00,0:00:20,0:00:20,pictureonly
Minori_159,1,2002_01_14_19_00_2.webm,Minori,Koizumi,0:00:01,0:01:58,0:01:57,picture&video
Yuji_175,1,2002_01_14_19_00_2.webm,Yuji,Abe,0:00:21,0:00:24,0:00:03,
Yuji_174,-1,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:00:21,0:01:59,0:01:38,
Yuji_176,1,2002_01_14_19_00_2.webm,Yuji,Abe,0:01:37,0:01:38,0:00:01,
Yuji_177,-1,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:02:32,0:02:37,0:00:05,
Minori_160,1,2002_01_14_19_00_2.webm,Minori,Koizumi,0:02:32,0:03:14,0:00:42,
Yuji_178,-1,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:02:37,0:02:39,0:00:02,
Yuji_179,-1,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:02:40,0:03:14,0:00:34,
Minori_161,,2002_01_14_19_00_2.webm,Minori,Koizumi,0:03:48,0:04:08,0:00:20,
Yuji_180,,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:03:48,0:04:09,0:00:21,
Yuji_181,1,2002_01_14_19_00_2.webm,Yuji,Abe,0:03:52,0:03:53,0:00:01,
Yuji_182,1,2002_01_14_19_00_2.webm,Yuji,Abe,0:03:57,0:03:59,0:00:02,
Yuji_183,-1,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:05:41,0:05:45,0:00:04,
Minori_162,1,2002_01_14_19_00_2.webm,Minori,Koizumi,0:05:41,0:05:51,0:00:10,
Yuji_184,-1,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:05:48,0:05:52,0:00:04,
Minori_163,,2002_01_14_19_00_2.webm,Minori,Koizumi,0:05:54,0:05:57,0:00:03,
Yuji_185,,2002_01_14_19_00_2.webm,Yuji,Koizumi,0:05:54,0:05:57,0:00:03,
,,2002_01_29_19_00_2.webm,_title_,,-1.00,,,
Yuji_191,,2002_01_29_19_00_2.webm,Yuji,Fukuda,0:00:37,0:00:51,0:00:14,
Minori_169,,2002_01_29_19_00_2.webm,Minori,Fukuda,0:00:38,0:00:51,0:00:13,
Yuji_192,,2002_01_29_19_00_2.webm,Yuji,Kan,0:01:48,0:02:00,0:00:12,
Minori_170,,2002_01_29_19_00_2.webm,Minori,Kan,0:01:50,0:02:00,0:00:10,
Yuji_193,,2002_01_29_19_00_2.webm,Yuji,Doi,0:02:00,0:02:08,0:00:08,
Minori_171,,2002_01_29_19_00_2.webm,Minori,Doi,0:02:01,0:02:08,0:00:07,
Yuji_194,-1,2002_01_29_19_00_2.webm,Yuji,Kamei,0:02:23,0:02:36,0:00:13,
Minori_172,,2002_01_29_19_00_2.webm,Minori,Hatoyama,0:06:09,0:06:32,0:00:23,
Yuji_195,,2002_01_29_19_00_2.webm,Yuji,Hatoyama,0:06:10,0:06:33,0:00:23,
Minori_173,,2002_01_29_19_00_2.webm,Minori,Fukuda,0:06:38,0:06:55,0:00:17,
Yuji_196,,2002_01_29_19_00_2.webm,Yuji,Fukuda,0:06:38,0:06:56,0:00:18,
Minori_174,,2002_01_29_19_00_2.webm,Minori,Hatoyama,0:08:29,0:08:43,0:00:14,
Yuji_197,,2002_01_29_19_00_2.webm,Yuji,Hatoyama,0:08:29,0:08:43,0:00:14,
Yuji_199,1,2002_01_29_19_00_2.webm,Yuji,Doi,0:09:16,0:09:20,0:00:04,
Yuji_198,1,2002_01_29_19_00_2.webm,Yuji,Shii,0:09:16,0:09:20,0:00:04,
Yuji_200,1,2002_01_29_19_00_2.webm,Yuji,Hatoyama,0:09:55,0:09:56,0:00:01,pictureonly
Minori_175,,2002_01_29_19_00_2.webm,Minori,Hatoyama,0:10:36,0:10:45,0:00:09,
Yuji_201,,2002_01_29_19_00_2.webm,Yuji,Hatoyama,0:10:36,0:10:46,0:00:10,
,,2002_02_04_19_00_1.webm,_title_,,-1.00,,,
Yuji_205,-1,2002_02_04_19_00_1.webm,Yuji,Koizumi,0:00:00,0:00:11,0:00:11,pictureonly
Minori_179,1,2002_02_04_19_00_1.webm,Minori,Koizumi,0:00:00,0:01:22,0:01:22,picture&video
Yuji_206,-1,2002_02_04_19_00_1.webm,Yuji,Koizumi,0:00:11,0:01:22,0:01:11,
Yuji_207,1,2002_02_04_19_00_1.webm,Yuji,Koizumi,0:01:38,0:01:38,0:00:00,
,,2002_02_13_19_00_2.webm,_title_,,-1.00,,,
Yuji_216,-1,2002_02_13_19_00_2.webm,Yuji,Koizumi,0:00:00,0:00:12,0:00:12,pictureonly
Minori_188,1,2002_02_13_19_00_2.webm,Minori,Koizumi,0:00:00,0:00:15,0:00:15,picture&video
Yuji_217,-1,2002_02_13_19_00_2.webm,Yuji,Koizumi,0:00:12,0:00:16,0:00:04,
Yuji_224,-1,2002_02_13_19_00_2.webm,Yuji,Fukuda,0:01:24,0:01:51,0:00:27,
Minori_189,,2002_02_13_19_00_2.webm,Minori,Fukuda,0:01:58,0:02:23,0:00:25,
Yuji_218,,2002_02_13_19_00_2.webm,Yuji,Fukuda,0:01:58,0:02:23,0:00:25,
Minori_190,,2002_02_13_19_00_2.webm,Minori,Koizumi,0:02:26,0:02:40,0:00:14,picture
Yuji_219,,2002_02_13_19_00_2.webm,Yuji,Koizumi,0:02:26,0:02:41,0:00:15,pictureonly
Yuji_220,-1,2002_02_13_19_00_2.webm,Yuji,Koizumi,0:02:41,0:02:44,0:00:03,
Minori_191,,2002_02_13_19_00_2.webm,Minori,Koizumi,0:02:58,0:03:20,0:00:22,
Yuji_221,,2002_02_13_19_00_2.webm,Yuji,Koizumi,0:02:58,0:03:20,0:00:22,
Minori_192,,2002_02_13_19_00_2.webm,Minori,Koizumi,0:03:34,0:03:49,0:00:15,
Yuji_222,,2002_02_13_19_00_2.webm,Yuji,Koizumi,0:03:34,0:03:49,0:00:15,
Yuji_223,,2002_02_13_19_00_2.webm,Yuji,Koizumi,0:04:09,0:04:53,0:00:44,
Minori_193,,2002_02_13_19_00_2.webm,Minori,Koizumi,0:04:10,0:04:53,0:00:43,
,,2002_02_14_19_00_3.webm,_title_,,-1.00,,,
Minori_195,1,2002_02_14_19_00_3.webm,Minori,Fukuda,0:01:25,0:01:51,0:00:26,
Yuji_225,-1,2002_02_14_19_00_3.webm,Yuji,nothing,,,0:00:00,nothing
,,2002_02_24_19_00_1.webm,_title_,,-1.00,,,
Yuji_230,-1,2002_02_24_19_00_1.webm,Yuji,Kan,0:01:14,0:01:30,0:00:16,pictureonly
Minori_200,1,2002_02_24_19_00_1.webm,Minori,Kan,0:01:14,0:02:36,0:01:22,picture&video
Yuji_231,-1,2002_02_24_19_00_1.webm,Yuji,Kan,0:01:30,0:02:22,0:00:52,
Yuji_232,-1,2002_02_24_19_00_1.webm,Yuji,Kan,0:02:23,0:02:36,0:00:13,
,,2002_02_27_19_00_1.webm,_title_,,-1.00,,,
Yuji_237,,2002_02_27_19_00_1.webm,Yuji,Doi,0:03:09,0:03:15,0:00:06,
Yuji_234,,2002_02_27_19_00_1.webm,Yuji,Hatoyama,0:03:09,0:03:19,0:00:10,
Yuji_241,-1,2002_02_27_19_00_1.webm,Yuji,Kan,0:03:09,0:03:24,0:00:15,
Yuji_236,,2002_02_27_19_00_1.webm,Yuji,Ozawa,0:03:09,0:03:15,0:00:06,
Yuji_235,,2002_02_27_19_00_1.webm,Yuji,Shii,0:03:09,0:03:15,0:00:06,
Minori_205,,2002_02_27_19_00_1.webm,Minori,Doi,0:03:10,0:03:14,0:00:04,
Minori_202,,2002_02_27_19_00_1.webm,Minori,Hatoyama,0:03:10,0:03:18,0:00:08,
Minori_203,,2002_02_27_19_00_1.webm,Minori,Ozawa,0:03:10,0:03:14,0:00:04,
Minori_204,,2002_02_27_19_00_1.webm,Minori,Shii,0:03:10,0:03:14,0:00:04,
Yuji_239,1,2002_02_27_19_00_1.webm,Yuji,Doi,0:03:19,0:03:24,0:00:05,
Minori_206,,2002_02_27_19_00_1.webm,Minori,Ozawa,0:03:19,0:03:23,0:00:04,
Yuji_238,,2002_02_27_19_00_1.webm,Yuji,Ozawa,0:03:19,0:03:24,0:00:05,
Minori_207,,2002_02_27_19_00_1.webm,Minori,Shii,0:03:24,0:03:28,0:00:04,
Yuji_240,,2002_02_27_19_00_1.webm,Yuji,Shii,0:03:24,0:03:29,0:00:05,
Minori_208,,2002_02_27_19_00_1.webm,Minori,Doi,0:03:29,0:03:33,0:00:04,
Yuji_242,,2002_02_27_19_00_1.webm,Yuji,Doi,0:03:29,0:03:33,0:00:04,
Yuji_243,1,2002_02_27_19_00_1.webm,Yuji,Ozawa,0:03:29,0:03:33,0:00:04,
Minori_209,,2002_02_27_19_00_1.webm,Minori,Kan,0:03:34,0:03:36,0:00:02,
Yuji_244,,2002_02_27_19_00_1.webm,Yuji,Kan,0:03:34,0:03:37,0:00:03,
Minori_212,,2002_02_27_19_00_1.webm,Minori,Doi,0:03:37,0:03:39,0:00:02,
Yuji_248,,2002_02_27_19_00_1.webm,Yuji,Doi,0:03:37,0:03:40,0:00:03,
Minori_210,,2002_02_27_19_00_1.webm,Minori,Hatoyama,0:03:37,0:04:13,0:00:36,
Yuji_245,,2002_02_27_19_00_1.webm,Yuji,Hatoyama,0:03:37,0:04:13,0:00:36,
Minori_211,,2002_02_27_19_00_1.webm,Minori,Ozawa,0:03:37,0:03:39,0:00:02,
Yuji_247,,2002_02_27_19_00_1.webm,Yuji,Ozawa,0:03:37,0:03:40,0:00:03,
Minori_213,,2002_02_27_19_00_1.webm,Minori,Shii,0:03:37,0:03:39,0:00:02,
Yuji_246,,2002_02_27_19_00_1.webm,Yuji,Shii,0:03:37,0:03:40,0:00:03,
Yuji_251,,2002_02_27_19_00_1.webm,Yuji,Doi,0:04:07,0:04:09,0:00:02,
Minori_215,,2002_02_27_19_00_1.webm,Minori,Doi,0:04:07,0:04:10,0:00:03,
Minori_214,,2002_02_27_19_00_1.webm,Minori,Ozawa,0:04:07,0:04:10,0:00:03,
Yuji_250,,2002_02_27_19_00_1.webm,Yuji,Ozawa,0:04:07,0:04:10,0:00:03,
Minori_216,,2002_02_27_19_00_1.webm,Minori,Shii,0:04:07,0:04:10,0:00:03,
Yuji_249,,2002_02_27_19_00_1.webm,Yuji,Shii,0:04:07,0:04:10,0:00:03,
Yuji_252,,2002_02_27_19_00_1.webm,Yuji,Kanzaki,0:04:28,0:05:04,0:00:36,
Minori_217,,2002_02_27_19_00_1.webm,Minori,Kanzaki,0:04:28,0:05:05,0:00:37,
,,2002_02_28_19_00_1.webm,_title_,,-1.00,,,
Yuji_254,-1,2002_02_28_19_00_1.webm,Yuji,Edano,0:00:30,0:00:32,0:00:02,
Yuji_255,,2002_02_28_19_00_1.webm,Yuji,Hatoyama,0:01:09,0:01:28,0:00:19,
Minori_219,,2002_02_28_19_00_1.webm,Minori,Hatoyama,0:01:10,0:01:28,0:00:18,
Yuji_256,,2002_02_28_19_00_1.webm,Yuji,Shii,0:01:28,0:01:39,0:00:11,
Minori_220,,2002_02_28_19_00_1.webm,Minori,Shii,0:01:29,0:01:38,0:00:09,
Yuji_257,-1,2002_02_28_19_00_1.webm,Yuji,Kamei,0:03:12,0:03:15,0:00:03,
Yuji_258,-1,2002_02_28_19_00_1.webm,Yuji,Kamei,0:03:20,0:03:21,0:00:01,
Yuji_259,-1,2002_02_28_19_00_1.webm,Yuji,Fukuda,0:11:15,0:11:19,0:00:04,
Minori_221,1,2002_02_28_19_00_1.webm,Minori,Fukuda,0:11:15,0:11:22,0:00:07,
Yuji_260,-1,2002_02_28_19_00_1.webm,Yuji,Fukuda,0:12:08,0:12:11,0:00:03,
Minori_222,1,2002_02_28_19_00_1.webm,Minori,Fukuda,0:12:08,0:12:15,0:00:07,
Yuji_261,-1,2002_02_28_19_00_1.webm,Yuji,Fukuda,0:12:12,0:12:13,0:00:01,
,,2002_03_05_19_00_3.webm,_title_,,-1.00,,,
Yuji_264,-1,2002_03_05_19_00_3.webm,Yuji,Edano,0:00:55,0:00:57,0:00:02,
Yuji_265,-1,2002_03_05_19_00_3.webm,Yuji,Edano,0:00:59,0:01:03,0:00:04,
Minori_224,1,2002_03_05_19_00_3.webm,Minori,nothing,,,0:00:00,nothing
,,2002_03_29_19_00_1.webm,_title_,,-1.00,,,
Yuji_278,-1,2002_03_29_19_00_1.webm,Yuji,Edano,0:04:50,0:04:52,0:00:02,
Yuji_279,-1,2002_03_29_19_00_1.webm,Yuji,Edano,0:05:17,0:05:22,0:00:05,
Yuji_280,-1,2002_03_29_19_00_1.webm,Yuji,Edano,0:05:29,0:05:31,0:00:02,
Yuji_281,-1,2002_03_29_19_00_1.webm,Yuji,Edano,0:05:35,0:05:42,0:00:07,
Minori_236,1,2002_03_29_19_00_1.webm,Minori,nothing,,,0:00:00,nothing
,,2002_04_01_19_00_1.webm,_title_,,-1.00,,,
Yuji_284,-1,2002_04_01_19_00_1.webm,Yuji,Edano,0:01:31,0:01:37,0:00:06,
Yuji_285,-1,2002_04_01_19_00_1.webm,Yuji,Edano,0:01:48,0:01:49,0:00:01,
Minori_238,1,2002_04_01_19_00_1.webm,Minori,nothing,,,0:00:00,nothing
,,2002_04_08_19_00_2.webm,_title_,,-1.00,,,
Minori_241,,2002_04_08_19_00_2.webm,Minori,Koizumi,0:00:19,0:00:58,0:00:39,
Yuji_288,,2002_04_08_19_00_2.webm,Yuji,Koizumi,0:00:19,0:00:58,0:00:39,
Minori_242,,2002_04_08_19_00_2.webm,Minori,Kanzaki,0:02:22,0:02:48,0:00:26,
Yuji_289,,2002_04_08_19_00_2.webm,Yuji,Kanzaki,0:02:22,0:02:48,0:00:26,
